original_sentence,dialect_city_id,dialect_province_id,dialect_country_id,dialect_region_id,dataset_name
اول مرة ميعجبنيش مقال هنا,,,eg,nile_basin,aoc
لا لمستر برادعى أقصد الجلبى . . .,,,eg,nile_basin,aoc
للاسف انك مصري منافق والاهم بماذا تصف نفسك في اهانتك لحكم مصري وبني ادم تصفه بالحشره ومكانه صندوق الزباله شوبير اصدق منك وافضل منك وفعلا هو اللي عمل اعلام رياضي في مصر وسلملمي علي صدقك ياكداب,,,eg,nile_basin,aoc
معقول يادكتورة نيفين كل الناس دى أحاسيسها غلط وحضرتك الصح ! !,,,eg,nile_basin,aoc
انا مش هاتنازل,,,eg,nile_basin,aoc
المحافظ الذى اهدى نقيب الصحفيين الحالى مائة شقة من عزبة الاشا ابوه حتى لا ينجح المنافس فى انتخابات نقابة الصحفيين بيعلمنا الاصول السياسية المحافظ المتنقل من عزبة الى اخرى اقصد من محافظة الى اخرى دون ان يترك بصمة واحدة على منصب شغره وشغله بيعلم الدكتور البرادعى وهو ماهو من الفقه القانونى والساسي بيعلمه السياسة,,,eg,nile_basin,aoc
تقول لسه خايف اقولك اماره . .,,,eg,nile_basin,aoc
يااخي انا مش هتكلم معاك تاني مانت زمالكاوي . . .,,,eg,nile_basin,aoc
بدل ماهما قاعدين يلموا فى فلوس وخلاص وبعد ماالبلد تغرق تبدأ المحاكمة,,,eg,nile_basin,aoc
و لو فعلا فيه حرية الدين مكنش ده يحصل تاني و تالت و رابع و مليون يا بلد يا . . .,,,eg,nile_basin,aoc
وادفع ماء وكهرباء وتليفون,,,eg,nile_basin,aoc
هنوريه اللى عمره ما شافه على راى اللى قال,,,eg,nile_basin,aoc
مانت طالع لابوك,,,eg,nile_basin,aoc
المحتجون علي وجود فيلم صهيونى علي أرض مصرية فترة وتعدى . . مصهينين على صهاينة اشتروا أرض سينا ليبقوا ويستوطنوا وللأسف تم ذلك كما تقول الأخبار بأيد مصريين وشركات مصرية . . لا تتركوا السرطان ينتشر ويتوغل ثم تنسحبون وتختبئون . .,,,eg,nile_basin,aoc
بأمارة زيادة معدلات البطالة ! ! !,,,eg,nile_basin,aoc
قعدت تلت ساعة و مشيت,,,eg,nile_basin,aoc
مابقاش الا انتم ؟,,,eg,nile_basin,aoc
هل نقدر نعمل فى مصر توصيلات مياه حلوة عذبة - كما ذكرتى - تكون لشرب فقط و تكون غالية الثمن و لكل اسرة حصة محددة منها لا تتجاوزها و الا فرض عليها عقوبات,,,eg,nile_basin,aoc
واوعوا ماتهدو . .,,,eg,nile_basin,aoc
وبعدين ياحضرة المحافظ الهمام يعنى اية سياسة ؟,,,eg,nile_basin,aoc
والله ماحدث من الجمهور المحترم الزمالكاوى بروفه لما سيحدث مستقبلا على الحكم الفاسدفى البلد من كل الشعب المصرى ولابد من وقفه انا عارف ان التعليقات من اصحاب الياقات الحمراء ستكون مثلهم . . . -,,,eg,nile_basin,aoc
ياعم ريح نفسك . . . الحجاب في القلب قبل مايكون ع الراس . . وربنا هيحاسب اخواننا في فرنسا على قلوبهم . . وربنا سبحانه وتعالى عارف ان ده ارغام واجبار على خلع النقاب . . يعنى الفرنسيين معملوش حاجة غير انهم بيحاولوا يمنعوا حاجة غايظاهم بس زودوا لينا ثواب الجهاد,,,eg,nile_basin,aoc
بصراحة انا اول مداخلة ليا لمواضيعك عشان تعرف ان الناس بتحبك اد ايه اد ايه ياطير اد محبتنا لنيفين هي محبتنا ليك حضرتك هتسال مين نيفين ده مش مهم اللي يسال ميتهش وان محبتنا زادت عن كده عارف هنقولك ايه ميحكمش احنا مصريين وعندنا كرامة لما ان شاء الله تغيرو الدستور وتخلوها مملكة ابقي تعالي احكم متكنش فاكرها كرسي معسل ياولا اجري ياشاطر احكم بعيد عننا,,,eg,nile_basin,aoc
عار اوخيانة . . يبقى دكتور زويل . . والباز . . ومصطفى السعيد . . خونة ؟ ؟ ؟,,,eg,nile_basin,aoc
علشان انت اهلاوى واطى مش اهلاوى عادى علشان فيه اهلويه كتير محترمين عارفين ان الفوز بدون شرف عار,,,eg,nile_basin,aoc
إحشروهم فى الكنايس,,,eg,nile_basin,aoc
حلاوه بلدنا جاموسه بتحلب يوماتى . .,,,eg,nile_basin,aoc
مسلم ولا مسيحي مش هتفرق . . . انا,,,eg,nile_basin,aoc
و الله اليوم السابع هي الجريدة المصرية الوحيدة الي بقيت اطالع فيها الاخبار و لهذا اظلب منكم ان لا تنشرو الفتن و الله ملينا روحنا ظلعت من هيك اخبار الله يسامحكم عاشت الاخوة الجزائرية المصرية ويذهب للجحيم كل واحد يريد الشر لبلداننا العربية يالله باي باي,,,eg,nile_basin,aoc
اه حجاب ونص كمان انتي شايفاه ايه ؟,,,eg,nile_basin,aoc
عايزين حكام م الصين . . . حكآمنا مرتشين . . .,,,eg,nile_basin,aoc
بس على فكرة المفروض مكانوش سرحوا بوقفه دى كانت تبقه سريه علشان محدش يعمل احطياطات,,,eg,nile_basin,aoc
مع ان خايف من الصقور جارحه ياعين,,,eg,nile_basin,aoc
ده محسوب علي مين,,,eg,nile_basin,aoc
ايوه ياوديع اخيرا فهمتني,,,eg,nile_basin,aoc
مهما شوفنا ومهما قاسينا,,,eg,nile_basin,aoc
الكمونى قاتل ولابد منعقابه وبشده وبتقولوا شارب دى حاجه كويسه يعنى اى واحد يشرب ويدمر ويقتل ويبقى برى دى مش حاجه علشان تبره والسكران بيقتل مسييحيين بس ه نكته دى الظلم ساد لكن الرب يدافع عنكم وانتم صامتون,,,eg,nile_basin,aoc
"اولا : يادكتورة نيفين لما نلاقي ان ابسط حقوق الشعب لا يقدر على ممارستها يبقى انت اكيد في مصر , لما نلاقي الامن يعتقل العشرات ويحتجز الشباب والبنات المتظاهريين سلميا وعلنا نهارا جهارا يتعرضوا للضرب والسب يبقى انت اكيد في مصر ياريت تبقي موجودة في مظاهرات مثل تلك التي حدثت عشان تحكمي على الشباب اليائس من عيشته والذي اصبح بلا أمل وطبعا ياعيني على رجال امن الدولة لما يلبسوا مدني وسط المتظاهريين ويسحلوا المتظاهريين وساعتها ياولداه الشباب دول هما اللي ضربوا الامن الغلبان الوديع واحب اسالك سؤال ليه أمن الدولة يلبس مدني وسط المتظاهريين ؟ ؟ ؟ ! ! ! .",,,eg,nile_basin,aoc
ومن امتي اي مسؤل في مصر بيدور علي مصلحة مصر مش مصلحتة الشخصية,,,eg,nile_basin,aoc
كويس اوى ان غالبية الشباب متفتح و حضر الحفلة و فقط عشرين تلاتين شخص اللى عملوا المظاهرات المغرضة المدعومة اياها ! مفروض فى الحفلات دى البنات المحترمة بتقف بعيد فى ناحية و بيسيبوا ناحية للشبان ! لكن لا نستبعد اندساس شباب من الحركات اياها عشان يفسدوا حفلة حماقى بهذه الطريقة !,,,eg,nile_basin,aoc
و بعدين مين اللى قال لك إن الناس برة مصر بيقولوا إن المصريين كلهم ملايكة و إللى حصل ده ممكن يغير فكرة الناس عن مصر . إنت نسيت فى كأس العالم 2006 لما إتحاد الكرة الإيطالى أصدر قرار بهبوط اليوفنتس ( إللى نص لاعبى المنتخب الإيطلى منه ) إلى الدرجة الأدنى بسبب قضية رشوة و مع ذلك إيطاليا فازت بكأس العالم و مسمعناش حد بيقول إن ده أساء لسمعة إيطاليا أو إن القرار ده حيشتت تركيز اللاعبين و يستحسن إننا نأجله لبعد البطولة . و العالم كله وقف إحتراما للإيطاليين .,,,eg,nile_basin,aoc
هو محدش عاجبه حاجه فى البلد ده ؟ ؟ ؟ لو الوزير قعد تقولوا مفيش متابعه ولو نزل يبقى بيمثل . . و بعدين ايه حكايه الاعتصامات ده . . . كل يوم 20 ولا 30 واحد يروحوا يباتوا هناك . . والاخوه المعاقين اللى بيطالبوا بمقاعد فى البرلمان . . طب ما هما من فئات الشعب وليهم نوابهم ربنا يصلح حال البلد ده لحسن انا تعبت,,,eg,nile_basin,aoc
واو حيكون يوم عيدانشاء الله وكلنا معاكم يا ابطال,,,eg,nile_basin,aoc
هو الشيخ الجندى ما يعرفش بأن الحلف بغير الله شرك وكان عليه الوقف المهزلة بالأستهتار بالمصحف للدرجة دية وهو انتم شوفتم عمركه حد من الأخوة الأقباط بيحلف بالأنجيل بالمنظر دة وبعدين ازاى انا اعاقب ابنى على الحلفان بالمصحف وهو شايف الناس ئلى المفروض القدوة بتعتنا بيحلفوا على المصحف بهذا المنظر السخيف والله هو الأعلم اذا كان ئلى ماسك المصحف اصلا صادق ولا لأوالله عيب على الأعلامى محمود سعد انه يوضع نفسه فى هذا الموقف وربنا يهدينا ويهيهم وشكرا,,,eg,nile_basin,aoc
احلى حاجة لحم الحمير,,,eg,nile_basin,aoc
دى عصابة يا معلم اصح دى عصابة مسكة البلد من يد من حديد وعشان تشيل عصابة ذى دى لازم يكون فيا شوى تضحيات,,,eg,nile_basin,aoc
اللى رجع البلد 50 سنه الى الوراء,,,eg,nile_basin,aoc
وزير التربية والتعليم الحالى جامد جدا وراعب المدارس والمدرسين بقوا يدخلوا الفصول ويشرحوا وما مفيش غصب على الدروس زى الاول,,,eg,nile_basin,aoc
يجب الا ننسى انه مصرييلعب في اوربا يجب تشجيعه,,,eg,nile_basin,aoc
ماتقلو ايه هيه اسماء العدد الغير مطابق ولا الموضوع فيهه بزنس,,,eg,nile_basin,aoc
هى التى رشحته للوكالة و هى التى اعطته نوبل !,,,eg,nile_basin,aoc
يعني اللي اتقال قبل كده طلع حقيقي,,,eg,nile_basin,aoc
يا حاج فتحى انا احييك على روحك الطيبة الحلوة لكن يبدو انا بعض الحقائق غايبة عنك,,,eg,nile_basin,aoc
عايزين حكام م الصين . . . حكآمنا مرتشين . . .,,,eg,nile_basin,aoc
ولا ايه يا جماعة,,,eg,nile_basin,aoc
انا شايفه ان الزمالكاوي ابراهيم حسن لم يغلط في اجد بدليل محمد ابراهيم لم يستطيع ازاله القطن من على جبينه اصلا لما طلب منه مراسل مودرن سبورت والله دى تمسيليه بطوله عبد المنعم و محمد ابراهيم,,,eg,nile_basin,aoc
صدرت احصائيات عالميه مؤخرا اكدت ان عدد المسحسسن فى مصر لا يتعدى 5 مليون مسيحى و لو بعمليه حسابيه بسيطة سنجد ان عدد الكنائس فى مصر يكفى لاحتواء مسيحى الشرق الاوسط كله بالاضافة الى كام دول من الاتجاد الاوربى,,,eg,nile_basin,aoc
علشان الناس ترتاح من هذا الموضوع يجب أن يتم سؤال الكابتن مجدي عبد الغني وهو سوف يريح الجميع لأنه عايز واحد تفصيل على مزاجه لرئاسة هذه اللجنة علشان يعرف يعمل شغل كويس لأنه طبعا رئيس لجنة اللاعبين المحترفين وبالتالي لابد من وجهة نظره أن يكون رئيس لجنة شئون اللاعبين تابع له علشان اللي عايزه مجدي بك ينفذ على طول ويتم التحصيل من اللاعب مباشرة وتروح الأندية في ستين داهية وعلشان نقولها بصراحة هاتوا اللواء نايف عزت يمسك اللجنة دي ويشوف الكابتن عدلي القيعي يكمل معاه الموضوع ومثل ما فعل في موضوع لجنة المسابقات يعمل كده برضه ويبقى الموضوع مطبوخ لصالح القلعة الحمراء اللي بيسموه نادي القيم والمبادئ وسيبك بقه من كل المواضيع لأنكم لو جبتم ملك من السماء لن يعجب مجدي بك مقشة لأنه نسي نفسه هذه الأيام وعلشان هو مزنوق في شوية فلوس علشان يدفعهم لأخوته علشان ينسوا القضية أياها وسلم لي على المبادئ يا جميل وشكرا 0,,,eg,nile_basin,aoc
ارجو الا تقحمو الدين فى مثل هذاة الجرائم لان فى مسلمين يرتكبو جرائم اكثر من ذالك لان المجرم ليس له دين,,,eg,nile_basin,aoc
من امتى وبتوع الكاف دول بيفهموا,,,eg,nile_basin,aoc
ليه يا بلدنا بتهتمى بالغرب وتسحقى ولادك !,,,eg,nile_basin,aoc
ه ايه ياعوض انت لسه بتتكلم عن موضوع وفاء قسطنطين ؟ ياترى هيه دى اللى حترفع رايه الاسلام والايمان ؟ ياترى اهتمامكم بمصير وفاء للدرجه بيخلى كتير منكم كل شويه يتكلموا عنها بذمتك مش مكسوف من نفسك يكون ارتباط مصيرك بأدعاء قد قيل كذبا على لسان السيده وفاء بأنها اسلمت وقد قالت امام كل رجالات الامن وامام المستشار العام انها ولدت مسيحيه وستعيش وتموت مسيحيه ! فكك بقى من الكلام الفارغ اللى بتوهموا نفسكم بيه مش بالعافيه يابنى . ولا اى كلام وخلاص . وياريت تتعلم الادب لما تتكلم على حد كبير فى المقام والسن زى قداسه البابا شنوده . . اسمه قداسه البابا شنوده زى ماحنا بنقول فضيله الشيخ على الشيخ الجليل احمد الطيب .,,,eg,nile_basin,aoc
دة بقة يابانى كمان وده مثل يابانى بتكلم عن عدد مرات الفشل ليس مهم ولكن لابد أنه بعد ذلك أدراك النجاح,,,eg,nile_basin,aoc
بس حضرتك بالطريقة دى بتشتم نفسك لان ترد فى كل الاخبار عنه ! ! ! و تشتم انصاره كلهم ايضا لانهم يردون ! ! !,,,eg,nile_basin,aoc
ياجددعان ارحمونا الحاجه ام 30 بقت ب 70 جنيه,,,eg,nile_basin,aoc
من قلب نيلك جانا الولد . .,,,eg,nile_basin,aoc
عرفتو ليه ما بتخدوش بطولات . . . لم أرى منظر بهذه الحقارة من قبل . . . و طبعا مجلس الإدارة يساند المجرمين رد السجون . . . خوف ؟ ؟ . . . أم أن الطيور على أشكالها تقع ؟ . . . متهيألى ألإثنين,,,eg,nile_basin,aoc
ياريت بلاش تشوهوا صورة الشباب اكتر من كده وبلاش تهويل,,,eg,nile_basin,aoc
صاحب التعليق 13 اتقى الله احنا اليهود ولالا ناس بنت تيت,,,eg,nile_basin,aoc
دا ولد مغرور ولعيب عادى جدا,,,eg,nile_basin,aoc
وهي سوزان تميم دي ايه مين كان يعرفها اصلا قبل ماتموت,,,eg,nile_basin,aoc
حوار متدني وتافه وهابط كيف تسمحوا لمثل هذه اللقاءات ان تتم علي الهواء انا الوم الشيخ خالد الجندي / / الفروض ان مجا لس الصلح هذه تتم بعيدا عن الكاميرات ومع ناس بتعرف الحقوق / / بالبلدي كدة قعدة عرب ومحلس عرفي لو عاوزين فعلا الموضوع يتحل فيه ناس عمد ومشايخ عرب يعرفوا يحلوا /,,,eg,nile_basin,aoc
"طبعا جميع الأساتذة مما اقترحت أسمائهم شرف لكل مصري ، ، ، بس الأول نخطط صح ويبقي فية دستور يعطي الأحقية للشرفاء بالترشح للرئاسة لحد دلوقتي كل حاجة افتراض يعني ترشيح الدكتور البردعي افتراض وبرنامجوة أفتراض وكمان حكومته المفترضة ، ، ، صعبانة علي مصر قوي بقي كل حاجة شريفة فيها افتراض . . . احنا ولاد زمن الإفتراض للدرجة دي اغترابنا عن واقعنا وذهبنا لعالم من الإفتراض ، ، ، بس مع كل الواقع الأسود دلوقتي ومع أمنياتي يحصل تغير , , , معنديش أمل في التغير",,,eg,nile_basin,aoc
يا ريت تعتزل من الان . . . 9 شهور كمان حرام و كتير قوي . . . انسان غلاط و فج و مستفز . . .,,,eg,nile_basin,aoc
ليه لا لجمال مبارك انى ارى انه احسن بكثير من غيره و بعبارة اخرى هو احسن الوحشين الموجودين على الساحة الان وربنا يستر على ولايانا !,,,eg,nile_basin,aoc
ولا حارقة و دانا,,,eg,nile_basin,aoc
أنا الذي أنقذتك في معركة نافارين 1827 بفضل أسطول كان سيد البحر المتوسط إنت مين,,,eg,nile_basin,aoc
كبار و صغيرين يطلبوا محاكمة البرادعى,,,eg,nile_basin,aoc
عرايا ضحايا مش لاقي الرغيف,,,eg,nile_basin,aoc
رقصنى يا اسكندرانى لأ مش قادرة,,,eg,nile_basin,aoc
مصرنا الحبيبة التى عرف عن اهلها التقدم العلمى والعلماء والاطباء والمهندسين والمعلمين واستفاد من خبرة ابناءها كل دول العالم في امريكا وفي اوربا وفي الدول العربية ولكن للاسف اصبح لك سرابا للاجيال القادمة ويعود الفضل لان مستولى التعليم في هذه البلد ليسوا اهلا لان يكونوا في مراكزهم فاستبدلوا الارتقاء بالتعليم الى الارتقاء بالمسخرة والتحرش وقلة الادب والدليل على ذلك تراجع مستوي التعليم في تصنيف مصري على مستو ى العالم الى مؤخرة الدول وهذا مؤشر الى مستقبل لايبشر بالخير وربنا يخيب ظنى,,,eg,nile_basin,aoc
فن الادارة . . . وآة من فن الادارة فهو المحك الرئيسى للحركة الى الامام .,,,eg,nile_basin,aoc
يا جماعه خلينا واسع الافق,,,eg,nile_basin,aoc
الى بيتكلمو ويقولو حماقى هو حماقى ليه دعوة و لما الحركه باظت السنه الى ابل الى فاتت بردو كان حماقى حسبو نفسكو الاول الراجل دة جى باستفتاء من الجمهور يعنى ملوش دعوة,,,eg,nile_basin,aoc
يلا اهى منها شهره ومنها تظبيط للبطل المحترم والبطله المحترمه 00,,,eg,nile_basin,aoc
واكيد عارف ايه اللي بيحصل ف المفروض اي اب او ام او عم اوخال يشوف بناتهم بتخرج ازاي ومع مين وبتلبس ايه مش بعد المصيبه نقول ياريت اللي جرا مكان,,,eg,nile_basin,aoc
احنا مش كلنا عرب احنا اكترناا فراعنه اسلمنا و اما اللى من اصل عربى فاهلا بيه بينا,,,eg,nile_basin,aoc
اعتقد ان نهايه الكابتن حسام حسن هتكون نتيجه لسانه اللي مبيبطلش مطره خالص,,,eg,nile_basin,aoc
الاخت نيفين بتتريق على الاخوة اللى عاملين المظاهرة على ان سنهم صغير,,,eg,nile_basin,aoc
وبعد ما تخلص القضية دي ، حيدبروا حاجة جديدة يلهوا فيها الشعب و هلم جر ، شوية بطولة كورة عبيطة شوية معركة اعلامية ساذجة مع الجزاير ، مرة مركب تغرق مرة قطر يولع وزي ماقال الفاجومي :,,,eg,nile_basin,aoc
فيك اتولدت وفيكي بعيش وفيكي,,,eg,nile_basin,aoc
مع احترامي لكل اللي علقو بس بتمنى ان الكلام يكون عن ست الكل بس من غير متدخلو حاجات هي ملهاش ذنب فيها ومش اي كلام اتكتب في الصحافة تصدقوه,,,eg,nile_basin,aoc
وإيه يعني وما الجديد في هذا ، نحن أفضل منهم ، أحنا قوات الأمن إلتحمت مع حركة 6 أبريل ، مش تقولوا محطة فضاء لا راحت ولا جت ! ! !,,,eg,nile_basin,aoc
يبقى يوسف زى ماهو وزير مالية,,,eg,nile_basin,aoc
مش زين الخواجة لكن علي وحسانين,,,eg,nile_basin,aoc
الدورى احمر دم والدورى اهلاوى لانهم متربين وادارة فهمة يامتعصبين,,,eg,nile_basin,aoc
اللى مش بتتكلم بلاسن الكنيسة ولا حاجة زى ما بيقول ولاد الحرام,,,eg,nile_basin,aoc
انتى فين يا نفين . راح عمك حامدين . .,,,eg,nile_basin,aoc
وياريت تنشر يافير,,,eg,nile_basin,aoc
عايزين حكام م الصين . . . حكآمنا مرتشين . . .,,,eg,nile_basin,aoc
والله الكره زيها زي اي شيء فاسد في البلد,,,eg,nile_basin,aoc
وحشتونى اوى يا بنات و الله يرحمكم و كل اللى بيتكلم عليكم ميعرفكوش ولا يعرف اد ايه الناس بتحبكوا و زعلانين عشانكم و بجد ربنا يثبتكم عند سؤاله و يرحمكم و يغفرلكم وحشتونى مش مصدقه انى مش هشوفكوا ولا هكلمكوا تانى باى باى يا اصحاب عمري,,,eg,nile_basin,aoc
يعني الصورة اللي الولد لابس دبلة ف ايده ( ( يعني ماهو مش معقول يعني ادام العالم اللي وافقة دي ويقوم عامل اي حركة كده او كده ماهو خطبها ماشي خطبها بس احترام لو حاببها ادام الناس يحترمها ) ),,,eg,nile_basin,aoc
ليه اضطر اسيب بلدى واشتغل بره عشان فى بلادى مش لاقى فرصى !,,,eg,nile_basin,aoc
حسين ياسر بتاع الكرة الشراب,,,eg,nile_basin,aoc
الى اصحاب كل التعليقات ( الله اعلم ايه هى الحقيقه ) وياخبر بفلوس بكره يبقى ببلاش,,,eg,nile_basin,aoc
انا اهلاوى لكن لست متعصب والله لكن لا اعلم من اى طينه هذا البنى ادم اساء للكره المصريه فى الحارج وراجع يكمل عليها فى الداخل انه بلطجى بكل ما تحمله الكلمه من معلن وادعوا اتحاد الكره المصرى لشطب هذا البنى ادم اذا كان بنى ادم من الاساس واقول لخالد الغندور يا محايد ارحم نفسك شويه لو كان ابراهيم حسن فى الاهلى وبيعمل اللى بيعمله دلوقتى كنت سكت يا ضلالى يا اللى عامل نفسك اعلامى يا اللى سبيت الدين وانت لاعب ربنا يهديكم وارحمونا,,,eg,nile_basin,aoc
عمالين ترموا الفلوس علي لاعيبة بتاخد ملايين بسبب ومن غير سبب,,,eg,nile_basin,aoc
والله انا مقاطع اللحمه غصب عني بس الحمد لله علي كل حال,,,eg,nile_basin,aoc
الدكتور محمود رشدى لو مش عاجباك المعارضه ماتنضم للوطنى,,,eg,nile_basin,aoc
ياريت كفايه ضحك علي الشعب الغلبان اللي طالع عينو وعايش وساكت انتي بتضحكي علي نفسك ولا علينا انتو بتحولو تشوهو صوره بالبرادعي باي طريقه وكل حاجه عايزين تضحكو بيها علينا تقولونا امريكا خدو بالكو امريكا عايزانا نبئا زي العراق ارحمونا,,,eg,nile_basin,aoc
و النتيجة مش محتاجة كلام,,,eg,nile_basin,aoc
أ . محمود . . . انت عملت اللى عليك وعتابى لك ان بلدنا بها اشياء اكبر من كده بكثير قوى,,,eg,nile_basin,aoc
لو اللصوص اللى سرقو مصر وعملو فيها رجال اعمال مضطهدين معاهم حق كانو قدمو بلاغ للنائب العام بيع لنا يا فندم وسدد ديوننا لاننا شرفاء,,,eg,nile_basin,aoc
مقدرش اقول غير كل حادث قطار وانتم بخير,,,eg,nile_basin,aoc
بصراحة حاجة تقرف وحرقة دم .,,,eg,nile_basin,aoc
الله يرحمك وفعلا كفايه كلمه عروستى احلا ايام حياتى يارب يجعل مثواك الجنه انا عمرى 21 وفعلا الناس اللى فى العمر ده فاكره البرنامج وعارفاها كويس وكانت بتستنى البرنامج ايام حلوه وجميله وهاديه ربنا يصبر اهلها,,,eg,nile_basin,aoc
رغيف العيش قتلنا العيال,,,eg,nile_basin,aoc
لا شك ان الحكومة طفشت العديد من الشباب وتفكير هولاء انهم في بلدهم ممكن ان يموتون من الفقر والبطالة والهجرة خير سبيل لهم رغم عواقبها المعروفة لديهم الى الحد الذي دفع بعض الشباب معدومي الوطنية الى الهجرة الى اسرائيل . واكرر ان الحكومة هي السبب فقد طفشت الشباب ولا عزاء في انفسنا . . .,,,eg,nile_basin,aoc
الان عرفت ايه السبب فى اختفاء السيارة 128 من شوارعنا,,,eg,nile_basin,aoc
جزائر فين ؟ في المنديال,,,eg,nile_basin,aoc
عايزين حكام م الصين . . . حكآمنا مرتشين . . .,,,eg,nile_basin,aoc
شكلك رايق يا سفسطائى وبعدين ايه اسمك السهل اوى ده ه وياما هنشوف,,,eg,nile_basin,aoc
مش اي نادي اللي اسمه زمالكيهود,,,eg,nile_basin,aoc
انشاء الله ربنا حينصركم,,,eg,nile_basin,aoc
يا رب أشوف يوم أسود في الجزائريين و إبراهيم وحسام حسن,,,eg,nile_basin,aoc
مهما دفعولك ومهما خدمتيهم اكيد فى الاخر هيدوسوا عليكى زى ما داسوا على قبلك كتير,,,eg,nile_basin,aoc
وان كان هناك من ترك الاسلام فهو اكيد الخسران ولن يضر الاسلام ان يفقد مثل هذه النوعية من المسلمين الذين ان ظلوا على الاسلام اضروا به ولن يفيدوه ولن يستفيدوا ايضا منه على كانت عقائدهم هشة بهذه الطريقة,,,eg,nile_basin,aoc
مساء الانوار ياكابتن شلبي انا زمالكاوي ياكابتن الناس بسسب التحكيم السيء مش هتشاهد كوره تاني الحقونا محمد محارب من السويس,,,eg,nile_basin,aoc
المصريون ؟ كلهم ؟ هتفوا ؟ ازاى يعنى ؟ ان كان 99 و 99999999 % من المصريين كانوا فى مدارسهم و اشغالهم زى اى يوم طبيعى و لا حد هتف و لا اصلا مقتنع بطريقة هتافات ايران و الجزيرة اياها دى ! يعنى الحرس الثورى الايرانى لما حشدوه طلع خمسين الف واحد منهم فى طهران و هتفوا ضد مبارك قبل حرب غزة باسبوعين ! هى حشد الناس لاى مظاهرة مشكلة ؟ هات الاخوان و خللى شوية بدقن و شويه يحلقوها و لم بتوع حزب التجمع و الوفد و الغد و غيرهم ! و خلليهم هم و فروعهم فى كل محافظة يهتفوا ! هم اللى بيهتفوا فى الجامعات و النقابات و امام كاميرات الجزيرة و طبعا سلم نقابة الصحفيين ! الى اصبح شهيرا بعد ما قال المهدى عاكف مرشد الاخوان و هو يقف عليه : طظ فى مصر و طلب دعم حماس و حزب الله و الغاء معاهدة السلام و قلب الحكم و ضم غزة لسيناء و هاجم الجدار ! مش جديدة يعنى ! قال كل المصريين طلعوا و هتفوا ! ! ! ده اللى كانوا فى حفل حماقى كانوا اكتر من كل اللى هتفوا فى جميع جماعات الجمهورية !,,,eg,nile_basin,aoc
مسلم ولا مسيحي مش هتفرق . . . انا,,,eg,nile_basin,aoc
اوي ياحسام تخلي الظلم يقهرك اوعي الجهلاويه الفاسدين يهدوا عزيمتك انت الاقوي والاكبر حتي لو مفيش اي بطوله كفايه انت ياحسام يااحسن لاعب في تاريخ القاره ياهداف مصر علي مر العصور ياحارق قلب الجزائر والجهلاويه,,,eg,nile_basin,aoc
